"Gene","Treatment_Stage","mean","std","n","se","DDCtTwoP",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","Target_Antibiotic"
"Tn5","E",1893786.57508706,741782.431016349,3,428268.286227424,2392354.90826089,1893786.57543993,498568.332820963,0.333333333333334,638867612695.855,4.78591362338156e-15,9.58590327350145e-07,"MGE"
"Tn5","E",1893786.57508706,741782.431016349,3,428268.286227424,2247671.86050491,1893786.57543993,353885.285064985,0.333333333333333,638867612695.856,2.41124025128464e-15,6.80410264654093e-07,"MGE"
"Tn5","E",1893786.57508706,741782.431016349,3,428268.286227424,1041332.95649539,1893786.57543993,-852453.618944543,0.333333333333333,638867612695.852,1.39912653211628e-14,-1.63900059233158e-06,"MGE"
"Tn5","F",2724994.41642653,355118.65833091,3,205027.85298161,2528762.29745733,2724994.41642359,-196232.11896626,0.33333333333334,141277924847.551,1.39881639016425e-14,-1.70573681778332e-06,"MGE"
"Tn5","F",2724994.41642653,355118.65833091,3,205027.85298161,3134926.09147325,2724994.41642359,409931.675049662,0.333333333333331,141277924847.547,6.10440697397351e-14,3.56330836525062e-06,"MGE"
"Tn5","F",2724994.41642653,355118.65833091,3,205027.85298161,2511294.86034899,2724994.41642359,-213699.556074601,0.333333333333331,141277924847.551,1.65892887177696e-14,-1.85757154728858e-06,"MGE"
"Tn5","G",19137755.3045767,5540048.656652,3,3198548.58324166,23077762.1999632,19137755.3044281,3940006.89553511,0.333333333333334,52501783412.1785,3.93154386778882e-11,9.21527794177899e-05,"MGE"
"Tn5","G",19137755.3045767,5540048.656652,3,3198548.58324166,12803190.2103602,19137755.3044281,-6334565.09406789,0.333333333333333,52501783410.3287,1.01625517179448e-10,-0.000148159075694879,"MGE"
"Tn5","G",19137755.3045767,5540048.656652,3,3198548.58324166,21532313.5034067,19137755.3044281,2394558.19897861,0.333333333333333,52501783412.9145,1.45217834382765e-11,5.60062962770056e-05,"MGE"
"Tn5403","A",44651025.0763147,20013304.1482653,3,11554686.5373748,67575643.0628014,44651025.0742016,22924617.9885999,0.333333333333333,2118285556652.55,6.58494831426187e-13,1.32844501136561e-05,"MGE"
"Tn5403","A",44651025.0763147,20013304.1482653,3,11554686.5373748,30663095.2561838,44651025.0742016,-13987929.8180178,0.333333333333333,2118285556653.08,2.45163066635191e-13,-8.10578200164741e-06,"MGE"
"Tn5403","A",44651025.0763147,20013304.1482653,3,11554686.5373748,35714336.9099588,44651025.0742016,-8936688.16424282,0.333333333333333,2118285556653.26,1.00069415663598e-13,-5.17866811041645e-06,"MGE"
"Tn5403","B",18693309.6839372,2103146.47771396,3,1214252.18505337,18359201.7934908,18693309.684007,-334107.890516132,0.333333333333333,214081034533.893,1.74891541422348e-14,-1.91643480710128e-06,"MGE"
"Tn5403","B",18693309.6839372,2103146.47771396,3,1214252.18505337,16777216,18693309.684007,-1916093.68400697,0.333333333333334,214081034533.828,5.75213168133522e-13,-1.09906671912145e-05,"MGE"
"Tn5403","B",18693309.6839372,2103146.47771396,3,1214252.18505337,20943511.2583209,18693309.684007,2250201.57431388,0.333333333333334,214081034533.802,7.93301342889355e-13,1.29071019987743e-05,"MGE"
"Tn5403","C",5773977.72456327,1269057.55361007,3,732690.720193904,5931641.60151569,5773977.72423935,157663.877276343,0.333333333333332,437136169624.501,9.52610921832874e-16,4.42987415055522e-07,"MGE"
"Tn5403","C",5773977.72456327,1269057.55361007,3,732690.720193904,6956836.57657538,5773977.72423935,1182858.85233603,0.333333333333334,437136169624.487,5.36187889873597e-14,3.32347266144857e-06,"MGE"
